"Story","Title","Result","Date","Stability","Duration (s)"
"Resource /post should be renamed to /posts","Posts endpoint accepts HTTP GET and provide all the available posts with status code as 200","SUCCESS","2020-02-07T06:19:01.339+01:00[Europe/Berlin]","0.0","4.09"
"Resource /post should be renamed to /posts","Post end point returns 404 status when GET method is used","SUCCESS","2020-02-07T06:19:05.431+01:00[Europe/Berlin]","0.0","0.21"
"Resource /post should be renamed to /posts","The endpoint /posts with specific ID returns the post with same ID when GET method is used","PENDING","2020-02-07T06:19:05.649+01:00[Europe/Berlin]","0.0","1.07"
"Resource /post should be renamed to /posts","The endpoint /posts with ID greater than 100 will give 404 error","SUCCESS","2020-02-07T06:19:06.72+01:00[Europe/Berlin]","0.0","0.04"
"Resource /post should be renamed to /posts","The endpoint /posts returns 500 internal server error status when HTTP POST method is used with the payload size greater than 10MB","ERROR","2020-02-07T06:19:06.765+01:00[Europe/Berlin]","0.0","0.08"
