"Story","Title","Result","Date","Stability","Duration (s)"
"Resource /post should be renamed to /posts","Posts endpoint accepts HTTP GET and provide all the available posts with status code as 200","SUCCESS","2020-02-08T09:55:05.751+01:00[Europe/Berlin]","0.0","2.93"
"Resource /post should be renamed to /posts","Post end point returns 404 status when GET method is used","SUCCESS","2020-02-08T09:55:08.68+01:00[Europe/Berlin]","0.0","0.13"
"Resource /post should be renamed to /posts","The endpoint /posts with specific ID returns the post with same ID when GET method is used","SUCCESS","2020-02-08T09:55:08.819+01:00[Europe/Berlin]","0.0","1.1"
"Resource /post should be renamed to /posts","The endpoint /posts with ID greater than 100 will give 404 error","SUCCESS","2020-02-08T09:55:09.921+01:00[Europe/Berlin]","0.0","0.3"
"Resource /post should be renamed to /posts","The endpoint /posts returns 500 internal server error status when HTTP POST method is used with the payload size greater than 10MB","SUCCESS","2020-02-08T09:55:10.223+01:00[Europe/Berlin]","0.0","7.81"
