"Story","Title","Result","Date","Stability","Duration (s)"
"Resource /post should be renamed to /posts","Posts endpoint accepts HTTP GET and provide all the available posts with status code as 200","SUCCESS","2020-02-08T09:38:31.215+01:00[Europe/Berlin]","0.0","3.94"
"Resource /post should be renamed to /posts","Post end point returns 404 status when GET method is used","SUCCESS","2020-02-08T09:38:35.159+01:00[Europe/Berlin]","0.0","0.12"
"Resource /post should be renamed to /posts","The endpoint /posts with specific ID returns the post with same ID when GET method is used","SUCCESS","2020-02-08T09:38:35.284+01:00[Europe/Berlin]","0.0","1.61"
"Resource /post should be renamed to /posts","The endpoint /posts with ID greater than 100 will give 404 error","FAILURE","2020-02-08T09:38:36.893+01:00[Europe/Berlin]","0.0","0.26"
"Resource /post should be renamed to /posts","The endpoint /posts returns 500 internal server error status when HTTP POST method is used with the payload size greater than 10MB","SUCCESS","2020-02-08T09:38:37.158+01:00[Europe/Berlin]","0.0","8.59"
